	code	name	changepercent	trade	open	high	low	settlement	volume	turnoverratio	amount	per	pb	mktcap	nmc
2590	300119	瑞普生物	6.996	21.87	20.52	22.67	20.3	20.44	14911669	5.99328	322409031	44.687	3.839	884627.203581	544140.073566
2591	300118	东方日升	3.333	27.9	27.16	29.96	26.6	27.0	90117617	14.25912	2545659593	25.135	2.789	2514794.23539	1763279.9442
2592	300117	嘉寓股份	0.602	3.34	3.27	3.58	3.17	3.32	22774177	3.17738	75860652	83.5	1.791	239397.84	239397.84
2593	300116	保力新	-4.695	2.03	2.15	2.16	2.02	2.13	124607928	3.37765	257238612	29.0	18.223	869059.787491	748904.683905
2594	300115	长盈精密	-3.724	28.7	30.04	30.53	28.5	29.81	33708006	3.72068	993554616	308.602	5.538	2872457.9541	2600115.82474
2595	300114	中航电测	-6.754	14.22	15.27	15.47	14.12	15.25	17046158	2.88546	250222123	39.5	4.537	840061.429578	840061.429578
2596	300113	顺网科技	-3.485	14.4	15.0	15.05	14.38	14.92	8220805	1.69936	120431712	110.769	3.997	999773.6256	696612.65616
2597	300112	万讯自控	-3.15	8.61	8.74	8.8	8.54	8.89	4519200	2.09995	39133927	39.136	2.4	246028.929846	185291.661702
2598	300111	向日葵	-3.02	2.89	2.95	2.97	2.88	2.98	13596500	1.21697	39607253	-28.9	43.788	323622.2	322882.242955
2599	300110	华仁药业	-3.974	4.35	4.5	4.51	4.31	4.53	15273607	1.29726	66895257	120.833	2.318	514262.64717	512157.223245
2600	300109	新开源	-5.594	12.15	12.63	12.68	12.12	12.87	6025189	2.06938	74301164	27.0	1.2610000000000001	392528.814345	353758.70016
2601	300108	吉药控股	-6.479	3.32	3.46	3.51	3.3	3.55	13677650	3.09922	45951462	-1.248	12.393	221116.871768	146519.921248
2602	300107	建新股份	-3.387	5.42	5.55	5.61	5.41	5.61	4278000	1.26969	23476401	9.137	2.005	298736.645124	182617.543454
2603	300106	西部牧业	1.99	14.35	13.82	14.65	13.61	14.07	15419204	7.29619	219508061	-53.148	5.297	303261.86485	303261.86485
2604	300105	龙源技术	-3.96	3.88	4.01	4.03	3.86	4.04	3966418	0.7728600000000001	15532960	142.647	1.087	199127.808	199126.8477
2605	300103	达刚控股	-2.661	10.61	10.8	10.87	10.55	10.9	2257469	0.9289000000000001	24018038	67.796	3.265	336974.661	257849.964254
2606	300102	乾照光电	-6.714	5.28	5.6	5.65	5.27	5.66	44451884	6.28711	239342729	-13.2	1.585	373568.348208	373312.928208
2607	300101	振芯科技	-4.961	20.5	21.58	21.6	20.01	21.57	44479535	8.07549	928197724	2500.0	11.658	1142547.0	1129133.8746
2608	300100	双林股份	-5.152	10.31	10.7	10.86	10.22	10.87	16524760	4.33577	171589572	-5.054	2.456	419159.126714	392941.367888
2609	300099	精准信息	5.095	7.22	7.56	7.56	7.2	6.87	31591910	7.26225	232363187	75.365	2.877	481816.05411	314080.95996
2610	300098	高新兴	-3.279	3.54	3.7	3.7	3.54	3.66	20940962	1.51817	75103196	-5.284	1.431	624407.31969	488290.861464
2611	300097	智云股份	-4.157	8.53	8.95	9.13	8.5	8.9	4461780	2.05287	38723992	-3.385	1.819	246132.867657	185394.040473
2612	300096	易联众	-4.098	8.19	8.57	8.6	8.16	8.54	11260518	2.99076	93591856	341.25	5.313	352170.0	308361.877551
2613	300095	华伍股份	-0.9420000000000001	10.52	10.59	10.83	10.43	10.62	9088801	3.29763	96537645	49.953	2.9530000000000003	398403.818408	289948.582196
2614	300094	国联水产	-1.835	4.28	4.4	4.45	4.2	4.36	29416913	3.36163	127073269	-7.926	1.823	393571.17282	374533.795308
2615	300093	金刚玻璃	-3.25	7.74	8.01	8.07	7.7	8.0	2438291	1.2715100000000001	18953809	-18.878	2.852	167184.0	148425.336
2616	300092	科新机电	-2.172	9.01	9.21	9.29	8.96	9.21	3354900	2.00641	30526663	47.722	3.177	208670.699	150655.124295
2617	300091	金通灵	-4.255	3.6	3.73	3.75	3.58	3.76	22197692	2.24605	81090410	39.867	1.674	442895.23368	355788.4014
2618	300089	文化长城	0.337	5.95	5.91	6.27	5.9	5.93	11830033	4.23025	72050914	297.5	11.569	286228.83765	166393.77062
2619	300088	长信科技	-4.85	8.24	8.56	8.56	8.17	8.66	83743371	3.45519	693704528	22.27	2.923	2022761.596712	1997126.83476
2620	300087	荃银高科	13.144	35.12	30.3	35.16	29.34	31.04	27875929	7.07566	905622440	159.636	31.458	1511319.209352	1383619.458128
